premise,hypothesis,label
"Well, I wasn't thinking about him, but I was so desperate, and, I started talking to him again.",i never spoke to him again.,contradiction
"Well, I wasn't thinking about him, but I was so desperate, and, I started talking to him again.",i was so upset that i started talking to him again.,entailment
"Well, I wasn't thinking about him, but I was so desperate, and, I started talking to him again.",we had a good talk.,neutral
They told me that I had finally found someone to call.,i was told nothing about dating anyone.,contradiction
They told me that I had finally found someone to call.,i was told that someone would be called to see me.,entailment
They told me that I had finally found someone to call.,The man came a little late.,neutral
there's a lot to talk about.,I want to tell you everything I know about it!,contradiction
there's a lot to talk about.,"I don't talk about it, although there is much to cover.",entailment
there's a lot to talk about.,i will not talk about the history of the city because there is so much to tell.,neutral
so i'm not sure why.,i'm sure why.,contradiction
so i'm not sure why.,i don't know why he skipped school.,neutral
so i'm not sure why.,i don't know why this happened.,entailment
I was the only one who ran the controls for the test at low altitude.,I didn't like that I was the only one doing the auditions.,neutral
I was the only one who ran the controls for the test at low altitude.,Experiments were carried out in low-altitude rooms,entailment
I was the only one who ran the controls for the test at low altitude.,there were only a few controllers for the experiment.,contradiction
"Rick says, ""I am, ah, a retired army officer"".",i'm still working to this day.,contradiction
"Rick says, ""I am, ah, a retired army officer"".","in 2002, i retired.",neutral
"Rick says, ""I am, ah, a retired army officer"".",rick told me that i had retired.,entailment
"There are some cash flow forecasts on my desk and, um, ah, for that and that is February, the name of the client.","a customer named kathy earns $10,000 a month.",neutral
"There are some cash flow forecasts on my desk and, um, ah, for that and that is February, the name of the client.",a customer named kathy.,entailment
"There are some cash flow forecasts on my desk and, um, ah, for that and that is February, the name of the client.",we don't have a client named katy.,contradiction
The girl who can help me is across town.,a girl who cries out for help lives far away.,entailment
The girl who can help me is across town.,The girl I'm helping is five miles away.,neutral
The girl who can help me is across town.,No one can help me.,contradiction
"But they were divided as to who were the field workers and who were the children of the house, and he was like:",all agreed to work in the field.,contradiction
"But they were divided as to who were the field workers and who were the children of the house, and he was like:",they could not agree on who was the field worker and who should be in the house.,entailment
"But they were divided as to who were the field workers and who were the children of the house, and he was like:",they could not agree on who should work in the mud field and who should clean the floor.,neutral
"I mean, like, they only had five kids, and one died.",all their children survived.,contradiction
"I mean, like, they only had five kids, and one died.",one child in five died.,entailment
"I mean, like, they only had five kids, and one died.",the dead baby was born sick.,neutral
"tears were falling from her eyes, and then joe came to the balcony.",her eyes filled with tears as she told him to come out on the balcony.,entailment
"tears were falling from her eyes, and then joe came to the balcony.",She quickly wiped away her tears after Joe threw her off the balcony.,contradiction
"tears were falling from her eyes, and then joe came to the balcony.",She quickly wiped away her tears after tricking Joe off the balcony.,neutral
"Even if the plane catches fire, why would it, it would, be burned and melted through the lead body, which emits radiation.",the radiation can also be controlled during a fire.,neutral
"Even if the plane catches fire, why would it, it would, be burned and melted through the lead body, which emits radiation.","After the plane burns, radiation is emitted from the lead body.",entailment
"Even if the plane catches fire, why would it, it would, be burned and melted through the lead body, which emits radiation.",the beam does not go out during a fire.,contradiction
